,distance_covered_m,avg_speed_kph,max_speed_kph,time_tracked_s
0,2.24,2.7,12.73,1.8
1,2.83,4.12,14.51,1.8
2,4.85,11.45,68.4,1.8
3,2.42,5.02,14.4,1.8
4,3.32,5.52,30.6,1.8
7,0.48,1.48,3.6,1.12
8,0.23,0.71,2.55,1.12
9,0.5,1.6,2.55,1.12
10,0.16,0.49,2.55,1.12
11,0.4,1.25,4.02,1.12
12,0.28,0.88,2.55,1.12
13,0.39,1.26,4.02,1.12
14,0.25,0.83,2.55,1.12
15,0.36,1.11,3.6,1.12
16,0.9,2.86,9.0,1.12
17,1.39,4.43,9.0,1.12
18,0.26,0.88,2.55,1.12
19,0.08,0.39,4.02,0.28
20,0.31,0.96,2.55,1.12
21,0.47,1.45,5.09,1.12
22,2.43,8.68,75.69,1.12
23,0.35,1.59,2.55,0.8
24,0.76,1.88,5.93,0.52
27,1.45,5.51,82.58,0.92
28,0.95,3.9,38.71,0.32
